timestamp,phase,ue_id,active_gnb,target_mbps,iperf_dl_actual_mbps,iperf_dl_mb,iperf_dl_retransmits,iperf_dl_cpu_host_pct,iperf_ul_actual_mbps,iperf_ul_mb,iperf_ul_retransmits,iperf_ul_cpu_host_pct,iperf_interval_idx,iperf_interval_total,iperf_interval_start_s,iperf_interval_end_s,iperf_interval_dl_mbps,iperf_interval_ul_mbps,ping_rtt_min_ms,ping_rtt_avg_ms,ping_rtt_max_ms,ping_rtt_mdev_ms,ping_loss_pct,ran_tti,ran_nof_ues,ran_dl_brate_bps,ran_ul_brate_bps,ran_proc_rmem,ran_proc_rmem_kB,ran_proc_vmem_kB,ran_sys_mem_pct,ran_system_load,ran_thread_count,ran_cpu_0_pct,ran_cpu_1_pct,ran_cpu_2_pct,ran_cpu_3_pct,ran_cpu_4_pct,ran_cpu_5_pct,ran_cpu_6_pct,ran_cpu_7_pct,ran_cpu_8_pct,ran_cpu_9_pct,ran_cpu_10_pct,ran_cpu_11_pct,ran_cpu_12_pct,ran_cpu_13_pct,ran_cpu_14_pct,ran_cpu_15_pct,ran_cpu_16_pct,ran_cpu_17_pct,ran_cpu_18_pct,ran_cpu_19_pct,ran_cpu_20_pct,ran_cpu_21_pct,ran_cpu_22_pct,ran_cpu_23_pct,ran_cpu_24_pct,ran_cpu_25_pct,ran_cpu_26_pct,ran_cpu_27_pct,ran_cpu_28_pct,ran_cpu_29_pct,ran_cpu_30_pct,ran_cpu_31_pct,ran_cpu_mean_pct,ran_cpu_max_pct,ran_cpu_softirq_cores_count,sysmon_cpu_user_pct,sysmon_cpu_sys_pct,sysmon_cpu_iowait_pct,sysmon_cpu_irq_pct,sysmon_cpu_softirq_pct,sysmon_cpu_idle_pct,sysmon_intr_per_s,sysmon_ctxt_per_s,sysmon_sirq_NET_RX_per_s,sysmon_sirq_NET_TX_per_s,sysmon_sirq_TIMER_per_s,sysmon_sirq_SCHED_per_s,sysmon_sirq_TASKLET_per_s,sysmon_sirq_RCU_per_s,sysmon_net_rx_bytes_s,sysmon_net_tx_bytes_s,sysmon_net_rx_pkts_s,sysmon_net_tx_pkts_s,sysmon_net_rx_drop_total,sysmon_net_tx_drop_total,sysmon_mem_used_MB,sysmon_load1,sysmon_load5,sysmon_load15,sysmon_cpu_freq_max_hz,sysmon_rapl_uj_delta,sysmon_temp_core_max_C,proc_cpu_user_pct,proc_cpu_sys_pct,proc_cpu_total_pct,proc_rss_kB,proc_threads,proc_vol_ctxsw_s,proc_nonvol_ctxsw_s,proc_schedrun_ns,proc_schedwait_ns,gnb_pkg0_watts,gnb_pkg1_watts,gnb_dram_watts,gnb_total_watts,gnb_cpu_freq_max_hz,gnb_cpu_freq_avg_hz,gnb_temp_pkg0_C,gnb_temp_pkg1_C,snap_cpu_0_pct,snap_cpu_1_pct,snap_cpu_2_pct,snap_cpu_3_pct,snap_cpu_4_pct,snap_cpu_5_pct,snap_cpu_6_pct,snap_cpu_7_pct,snap_cpu_8_pct,snap_cpu_9_pct,snap_cpu_10_pct,snap_cpu_11_pct,snap_cpu_12_pct,snap_cpu_13_pct,snap_cpu_14_pct,snap_cpu_15_pct,snap_cpu_16_pct,snap_cpu_17_pct,snap_cpu_18_pct,snap_cpu_19_pct,snap_cpu_20_pct,snap_cpu_21_pct,snap_cpu_22_pct,snap_cpu_23_pct,snap_cpu_24_pct,snap_cpu_25_pct,snap_cpu_26_pct,snap_cpu_27_pct,snap_cpu_28_pct,snap_cpu_29_pct,snap_cpu_30_pct,snap_cpu_31_pct,handover_phase,handover_delta_ms,notes
gnb1_10Mbps_tti_1.895e+06,gnb1_ramp_metrics,50,gnb1,10,,,,,,,,,,,,,,,,,,,,1.895e+06,1,0.0,0.0,1.3,855588,1666488,97,0.69,15,50.0,33.0,52.0,40.0,51.0,35.0,51.0,40.0,51.0,40.0,49.0,38.0,48.0,39.0,54.0,36.0,55.0,37.0,55.0,39.0,55.0,30.0,56.0,39.0,55.0,39.0,56.0,38.0,52.0,38.0,51.0,33.0,44.84,56.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_10Mbps_tti_1.9e+06,gnb1_ramp_metrics,50,gnb1,10,,,,,,,,,,,,,,,,,,,,1.9e+06,1,0.0,0.0,1.3,855588,1666488,97,0.69,15,50.0,36.0,50.0,38.0,50.0,38.0,50.0,37.0,49.0,33.0,49.0,36.0,49.0,40.0,54.0,38.0,54.0,32.0,54.0,38.0,55.0,36.0,55.0,36.0,53.0,35.0,55.0,31.0,54.0,40.0,52.0,40.0,44.28,55.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_10Mbps_tti_1.905e+06,gnb1_ramp_metrics,50,gnb1,10,,,,,,,,,,,,,,,,,,,,1.905e+06,1,0.0,0.0,1.3,855588,1666488,97,0.72,15,49.0,44.0,48.0,44.0,48.0,43.0,47.0,43.0,48.0,43.0,46.0,42.0,49.0,44.0,53.0,38.0,55.0,43.0,53.0,43.0,54.0,40.0,54.0,42.0,54.0,41.0,54.0,43.0,54.0,43.0,49.0,41.0,46.62,55.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_10Mbps_tti_1.91e+06,gnb1_ramp_metrics,50,gnb1,10,,,,,,,,,,,,,,,,,,,,1.91e+06,1,0.0,0.0,1.3,855588,1666488,97,0.72,15,46.0,42.0,47.0,42.0,45.0,38.0,46.0,39.0,45.0,37.0,46.0,33.0,45.0,37.0,51.0,41.0,52.0,40.0,52.0,43.0,51.0,36.0,51.0,41.0,51.0,38.0,53.0,32.0,51.0,38.0,47.0,42.0,43.69,53.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_10Mbps_tti_1.915e+06,gnb1_ramp_metrics,50,gnb1,10,,,,,,,,,,,,,,,,,,,,1.915e+06,1,0.0,0.0,1.3,855588,1666488,97,0.72,15,50.0,40.0,52.0,36.0,50.0,32.0,51.0,38.0,51.0,31.0,49.0,30.0,50.0,37.0,55.0,32.0,55.0,41.0,55.0,36.0,56.0,28.0,55.0,38.0,55.0,28.0,55.0,32.0,55.0,37.0,51.0,35.0,43.62,56.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_10Mbps_tti_1.92e+06,gnb1_ramp_metrics,50,gnb1,10,,,,,,,,,,,,,,,,,,,,1.92e+06,1,0.0,0.0,1.3,855588,1666488,97,0.69,15,50.0,32.0,50.0,40.0,49.0,39.0,47.0,32.0,50.0,38.0,48.0,36.0,51.0,29.0,55.0,39.0,54.0,36.0,54.0,40.0,56.0,37.0,53.0,26.0,55.0,39.0,55.0,34.0,56.0,33.0,51.0,39.0,43.84,56.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_10Mbps_tti_1.925e+06,gnb1_ramp_metrics,50,gnb1,10,,,,,,,,,,,,,,,,,,,,1.925e+06,1,0.0,0.0,1.3,855588,1666488,97,0.69,15,51.0,43.0,50.0,36.0,50.0,39.0,49.0,31.0,52.0,42.0,49.0,39.0,50.0,44.0,55.0,41.0,55.0,44.0,55.0,39.0,56.0,34.0,54.0,38.0,56.0,42.0,56.0,40.0,55.0,43.0,51.0,38.0,46.16,56.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_10Mbps_tti_1.93e+06,gnb1_ramp_metrics,50,gnb1,10,,,,,,,,,,,,,,,,,,,,1.93e+06,1,0.0,0.0,1.3,855588,1666488,97,0.69,15,49.0,42.0,49.0,33.0,49.0,33.0,48.0,33.0,49.0,41.0,47.0,40.0,51.0,42.0,54.0,38.0,54.0,42.0,53.0,35.0,55.0,37.0,55.0,36.0,53.0,41.0,55.0,40.0,54.0,42.0,51.0,34.0,44.84,55.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_10Mbps_tti_1.935e+06,gnb1_ramp_metrics,50,gnb1,10,,,,,,,,,,,,,,,,,,,,1.935e+06,1,0.0,0.0,1.3,855588,1666488,97,0.72,15,48.0,34.0,49.0,38.0,49.0,41.0,48.0,38.0,48.0,42.0,46.0,42.0,49.0,32.0,53.0,42.0,54.0,35.0,52.0,33.0,54.0,38.0,54.0,41.0,54.0,42.0,55.0,42.0,54.0,37.0,49.0,43.0,44.88,55.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_10Mbps_tti_1.94e+06,gnb1_ramp_metrics,50,gnb1,10,,,,,,,,,,,,,,,,,,,,1.94e+06,1,0.0,0.0,1.3,855588,1666488,97,0.69,15,48.0,39.0,48.0,45.0,47.0,43.0,46.0,44.0,46.0,44.0,45.0,38.0,46.0,43.0,52.0,36.0,51.0,41.0,51.0,45.0,53.0,45.0,52.0,44.0,52.0,45.0,53.0,42.0,52.0,43.0,49.0,41.0,45.91,53.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_10Mbps_tti_1.945e+06,gnb1_ramp_metrics,50,gnb1,10,,,,,,,,,,,,,,,,,,,,1.945e+06,1,0.0,0.0,1.3,855588,1666488,97,0.69,15,49.0,39.0,50.0,41.0,48.0,42.0,47.0,41.0,49.0,42.0,46.0,38.0,48.0,42.0,53.0,41.0,54.0,34.0,54.0,40.0,54.0,41.0,54.0,41.0,54.0,42.0,53.0,37.0,54.0,42.0,49.0,41.0,45.62,54.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_10Mbps_tti_1.95e+06,gnb1_ramp_metrics,50,gnb1,10,,,,,,,,,,,,,,,,,,,,1.95e+06,1,0.0,0.0,1.3,855588,1666488,97,0.69,15,49.0,41.0,50.0,37.0,49.0,42.0,49.0,39.0,49.0,29.0,46.0,42.0,48.0,42.0,54.0,42.0,54.0,42.0,54.0,35.0,54.0,42.0,53.0,40.0,55.0,33.0,55.0,42.0,53.0,42.0,50.0,42.0,45.44,55.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_10Mbps_tti_1.955e+06,gnb1_ramp_metrics,50,gnb1,10,,,,,,,,,,,,,,,,,,,,1.955e+06,1,0.0,0.0,1.3,855588,1666488,97,0.69,15,47.0,40.0,47.0,42.0,47.0,33.0,46.0,46.0,46.0,44.0,44.0,40.0,47.0,42.0,48.0,40.0,52.0,38.0,51.0,42.0,52.0,36.0,52.0,45.0,52.0,43.0,52.0,39.0,52.0,41.0,44.0,34.0,44.5,52.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_10Mbps_tti_1.96e+06,gnb1_ramp_metrics,50,gnb1,10,,,,,,,,,,,,,,,,,,,,1.96e+06,1,0.0,0.0,1.3,855588,1666488,97,0.72,15,49.0,44.0,50.0,43.0,49.0,42.0,49.0,41.0,49.0,38.0,46.0,38.0,48.0,42.0,54.0,35.0,54.0,44.0,55.0,43.0,54.0,42.0,54.0,41.0,54.0,34.0,53.0,34.0,52.0,41.0,49.0,38.0,45.59,55.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_10Mbps_tti_1.965e+06,gnb1_ramp_metrics,50,gnb1,10,,,,,,,,,,,,,,,,,,,,1.965e+06,1,0.0,0.0,1.3,855588,1666488,97,0.66,15,49.0,38.0,48.0,41.0,48.0,40.0,47.0,37.0,47.0,32.0,45.0,38.0,46.0,38.0,51.0,41.0,52.0,37.0,52.0,41.0,53.0,39.0,52.0,36.0,52.0,29.0,52.0,37.0,52.0,35.0,48.0,42.0,43.59,53.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_10Mbps_tti_1.97e+06,gnb1_ramp_metrics,50,gnb1,10,,,,,,,,,,,,,,,,,,,,1.97e+06,1,0.0,0.0,1.3,855588,1666488,97,0.66,15,50.0,43.0,49.0,41.0,49.0,41.0,49.0,33.0,49.0,37.0,48.0,38.0,50.0,42.0,54.0,39.0,56.0,43.0,54.0,41.0,54.0,41.0,54.0,37.0,53.0,34.0,54.0,37.0,54.0,42.0,51.0,39.0,45.5,56.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_10Mbps_tti_1.975e+06,gnb1_ramp_metrics,50,gnb1,10,,,,,,,,,,,,,,,,,,,,1.975e+06,1,0.0,0.0,1.3,855588,1666488,97,0.78,15,51.0,39.0,50.0,43.0,49.0,36.0,51.0,45.0,50.0,40.0,48.0,42.0,50.0,35.0,55.0,43.0,55.0,43.0,55.0,44.0,56.0,41.0,56.0,45.0,55.0,35.0,56.0,38.0,53.0,36.0,52.0,42.0,46.53,56.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_10Mbps_tti_1.98e+06,gnb1_ramp_metrics,50,gnb1,10,,,,,,,,,,,,,,,,,,,,1.98e+06,1,0.0,0.0,1.3,855588,1666488,97,0.72,15,49.0,41.0,49.0,42.0,48.0,36.0,49.0,41.0,47.0,41.0,45.0,41.0,47.0,41.0,53.0,33.0,53.0,41.0,52.0,41.0,54.0,40.0,53.0,41.0,52.0,41.0,54.0,40.0,53.0,41.0,50.0,34.0,45.09,54.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_10Mbps_tti_1.985e+06,gnb1_ramp_metrics,50,gnb1,10,,,,,,,,,,,,,,,,,,,,1.985e+06,1,0.0,0.0,1.3,855588,1666488,97,0.75,15,48.0,40.0,49.0,37.0,49.0,40.0,48.0,41.0,50.0,33.0,48.0,41.0,49.0,36.0,54.0,38.0,52.0,42.0,55.0,38.0,54.0,41.0,54.0,41.0,54.0,37.0,55.0,41.0,54.0,38.0,50.0,33.0,45.0,55.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_10Mbps_tti_1.99e+06,gnb1_ramp_metrics,50,gnb1,10,,,,,,,,,,,,,,,,,,,,1.99e+06,1,0.0,0.0,1.3,855588,1666488,97,0.72,15,49.0,41.0,50.0,41.0,49.0,35.0,50.0,38.0,50.0,41.0,48.0,38.0,49.0,40.0,54.0,37.0,54.0,41.0,54.0,41.0,55.0,33.0,54.0,33.0,54.0,40.0,55.0,39.0,55.0,41.0,49.0,34.0,45.06,55.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_10Mbps_tti_1.995e+06,gnb1_ramp_metrics,50,gnb1,10,,,,,,,,,,,,,,,,,,,,1.995e+06,1,0.0,0.0,1.3,855588,1666488,97,0.72,15,47.0,44.0,48.0,39.0,44.0,30.0,46.0,41.0,46.0,36.0,46.0,40.0,46.0,35.0,51.0,42.0,52.0,44.0,51.0,40.0,50.0,34.0,52.0,43.0,52.0,39.0,53.0,42.0,51.0,40.0,49.0,42.0,44.22,53.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_10Mbps_tti_2e+06,gnb1_ramp_metrics,50,gnb1,10,,,,,,,,,,,,,,,,,,,,2e+06,1,0.0,0.0,1.3,855588,1666488,97,0.72,15,48.0,42.0,48.0,34.0,47.0,44.0,48.0,40.0,49.0,43.0,46.0,42.0,46.0,38.0,53.0,43.0,53.0,42.0,53.0,37.0,52.0,44.0,52.0,38.0,54.0,44.0,53.0,44.0,51.0,41.0,48.0,43.0,45.62,54.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_10Mbps_tti_2.005e+06,gnb1_ramp_metrics,50,gnb1,10,,,,,,,,,,,,,,,,,,,,2.005e+06,1,0.0,0.0,1.3,855588,1666488,97,0.72,15,45.0,45.0,45.0,47.0,45.0,46.0,44.0,45.0,44.0,42.0,41.0,40.0,44.0,45.0,50.0,45.0,51.0,40.0,50.0,47.0,50.0,47.0,51.0,47.0,50.0,45.0,49.0,40.0,50.0,46.0,46.0,46.0,45.88,51.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_10Mbps_tti_2.01e+06,gnb1_ramp_metrics,50,gnb1,10,,,,,,,,,,,,,,,,,,,,2.01e+06,1,0.0,0.0,1.3,855588,1666488,97,0.66,15,47.0,38.0,47.0,37.0,48.0,30.0,47.0,37.0,48.0,40.0,45.0,32.0,46.0,40.0,51.0,38.0,52.0,39.0,50.0,38.0,52.0,36.0,51.0,36.0,52.0,39.0,53.0,33.0,51.0,39.0,47.0,39.0,43.06,53.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_10Mbps_tti_2.015e+06,gnb1_ramp_metrics,50,gnb1,10,,,,,,,,,,,,,,,,,,,,2.015e+06,1,0.0,0.0,1.3,855588,1666488,97,0.72,15,50.0,41.0,49.0,41.0,49.0,34.0,48.0,37.0,48.0,40.0,47.0,39.0,49.0,42.0,54.0,41.0,55.0,41.0,54.0,42.0,56.0,29.0,55.0,34.0,54.0,40.0,55.0,37.0,54.0,41.0,50.0,42.0,45.25,56.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_10Mbps_tti_2.02e+06,gnb1_ramp_metrics,50,gnb1,10,,,,,,,,,,,,,,,,,,,,2.02e+06,1,0.0,0.0,1.3,855588,1666488,97,0.69,15,49.0,43.0,50.0,36.0,49.0,39.0,48.0,43.0,48.0,37.0,47.0,40.0,49.0,40.0,53.0,41.0,54.0,43.0,53.0,37.0,54.0,41.0,54.0,43.0,53.0,34.0,55.0,39.0,54.0,40.0,49.0,40.0,45.47,55.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_10Mbps_tti_2.025e+06,gnb1_ramp_metrics,50,gnb1,10,,,,,,,,,,,,,,,,,,,,2.025e+06,1,0.0,0.0,1.3,855588,1666488,97,0.72,15,49.0,43.0,49.0,37.0,50.0,42.0,48.0,41.0,49.0,43.0,47.0,44.0,49.0,40.0,53.0,42.0,54.0,43.0,54.0,33.0,55.0,42.0,53.0,41.0,54.0,42.0,55.0,43.0,54.0,37.0,49.0,41.0,46.12,55.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
